Listing Title,Area,Distances to Railway Stations,Building Age,Stories Tall,Floor,Price,Administrative Costs,Deposit,Gratuity,Rooms,Square Meters,Links to Listing
ＪＲ外房線 本納駅 2階建 築26年,千葉県長生郡白子町浜宿,"ＪＲ外房線/本納駅 歩168分,ＪＲ外房線/八積駅 歩153分,ＪＲ外房線/永田駅 歩129分",築26年,2階建,1-2階,6.5万円,-,13万円,6.5万円,4LDK,91.08m,https://suumo.jp/chintai/jnc_000055032991/?bc=100183779391
シャトレひだまり,茨城県神栖市知手,"ＪＲ鹿島線/鹿島神宮駅 歩179分,ＪＲ成田線/笹川駅 歩166分,ＪＲ成田線/小見川駅 歩122分",築12年,2階建,1階,4.4万円,3000円,4.4万円,-,1K,29.75m,https://suumo.jp/chintai/jnc_000044003948/?bc=100183811850
サニーフラットフジA,茨城県坂東市辺田,"東武野田線/川間駅 歩173分,東武野田線/七光台駅 歩158分,東武野田線/清水公園駅 歩156分",築16年,2階建,1階,5.2万円,3500円,7.8万円,2.6万円,1LDK,44.6m,https://suumo.jp/chintai/jnc_000054478819/?bc=100184011295
サニーフラットフジB,茨城県坂東市辺田,"東武野田線/川間駅 歩173分,東武野田線/七光台駅 歩158分,東武野田線/清水公園駅 歩156分",築16年,2階建,2階,5.4万円,3500円,8万円,2万円,1LDK,44.6m,https://suumo.jp/chintai/jnc_000053941602/?bc=100184011205
サニーフラットフジD,茨城県坂東市辺田,"東武野田線/川間駅 歩173分,東武野田線/七光台駅 歩158分,東武野田線/清水公園駅 歩156分",築16年,2階建,2階,5.5万円,3500円,8万円,2万円,1LDK,44.6m,https://suumo.jp/chintai/jnc_000029809500/?bc=100184011101
ＪＲ成田線 小見川駅 2階建 築30年,茨城県神栖市賀,ＪＲ成田線/小見川駅 歩150分,築30年,2階建,1階,3.8万円,-,3.8万円,3.8万円,3DK,53.82m,https://suumo.jp/chintai/jnc_000050702441/?bc=100162780692
ＧＯＯＤ　ＬＵＣＫ,神奈川県足柄下郡箱根町仙石原,箱根登山鉄道/強羅駅 バス14分 (バス停)大原 歩7分,築9年,2階建,1階,6万円,2000円,-,-,1LDK,36.79m,https://suumo.jp/chintai/jnc_000055011709/?bc=100183786216
パラシオン鎌倉玉縄,神奈川県鎌倉市玉縄２,"ＪＲ横須賀線/大船駅 歩135分,湘南モノレール/富士見町駅 歩22分",築34年,3階建,3階,10万円,8000円,20万円,-,2SLDK,68.98m,https://suumo.jp/chintai/jnc_000020411812/?bc=100184020524
メゾネット・佐倉,茨城県稲敷市佐倉,"ＪＲ成田線/滑河駅 歩160分,関東鉄道竜ヶ崎線/竜ヶ崎駅 歩222分,ＪＲ成田線/下総神崎駅 歩181分",築10年,2階建,1-2階,5.65万円,3000円,-,-,2LDK,56.71m,https://suumo.jp/chintai/jnc_000055075561/?bc=100179994534
メゾネット・佐倉,茨城県稲敷市佐倉,"ＪＲ成田線/滑河駅 歩160分,関東鉄道竜ヶ崎線/竜ヶ崎駅 歩222分,ＪＲ成田線/下総神崎駅 歩181分",築10年,2階建,1-2階,5.75万円,3000円,-,-,2LDK,56.71m,https://suumo.jp/chintai/jnc_000055075562/?bc=100183673014
サンク・クレール　ＡＢＣ,茨城県神栖市大野原１,ＪＲ成田線/笹川駅 歩146分,築18年,2階建,1階,6.2万円,3000円,-,3.1万円,2LDK,62.1m,https://suumo.jp/chintai/jnc_000013064342/?bc=100157214286
ミルクパレスＣ棟１０６,茨城県坂東市岩井,"関東鉄道常総線/水海道駅 歩152分,つくばエクスプレス/守谷駅 車40分(17.9km),東武野田線/野田市駅 バス30分 (バス停)岩井局前 歩5分",築14年,2階建,1階,4.3万円,3000円,4.3万円,4.3万円,1K,28.2m,https://suumo.jp/chintai/jnc_000054936882/?bc=100013479583
ハイムプラネット,茨城県桜川市真壁町白井,"ＪＲ水戸線/大和駅 歩152分,ＪＲ水戸線/新治駅 歩112分,ＪＲ水戸線/岩瀬駅 歩113分",築10年,2階建,1-2階,5.1万円,3000円,-,-,2LDK,56.5m,https://suumo.jp/chintai/jnc_000013064242/?bc=100183915173
ブリズII,茨城県神栖市平泉東３,"ＪＲ成田線/水郷駅 歩145分,ＪＲ鹿島線/鹿島神宮駅 歩104分,ＪＲ成田線/小見川駅 歩106分",築17年,2階建,1階,4.8万円,2000円,-,-,2LDK,54.86m,https://suumo.jp/chintai/jnc_000055075566/?bc=100134636601
ブリズII,茨城県神栖市平泉東３,"ＪＲ成田線/水郷駅 歩145分,ＪＲ鹿島線/鹿島神宮駅 歩104分,ＪＲ成田線/小見川駅 歩106分",築17年,2階建,1階,5.3万円,2000円,-,-,2LDK,64.32m,https://suumo.jp/chintai/jnc_000055075567/?bc=100138441628
ＪＲ総武線 御茶ノ水駅 14階建 築3年,東京都千代田区神田西福田町,"ＪＲ総武線/御茶ノ水駅 歩159分,ＪＲ山手線/神田駅 歩5分,東京メトロ丸ノ内線/淡路町駅 歩10分",築3年,14階建,10階,12.5万円,10000円,12.5万円,-,1K,25.18m,https://suumo.jp/chintai/jnc_000054873596/?bc=100183323141
ＪＲ成田線 小見川駅 2階建 築32年,茨城県神栖市大野原４,ＪＲ成田線/小見川駅 歩123分,築32年,2階建,2階,4.2万円,3000円,4.2万円,-,3DK,49.68m,https://suumo.jp/chintai/jnc_000036639290/?bc=100109506524
プレグラン,茨城県猿島郡境町,"東武日光線/南栗橋駅 歩145分,東武日光線/幸手駅 歩144分,東武日光線/杉戸高野台駅 歩154分",築10年,2階建,1-2階,6万円,3000円,-,-,2SLDK,62m,https://suumo.jp/chintai/jnc_000054694017/?bc=100182323568
